voice	tense	aspect	pre-subject	post-subject	
active	present	aortist		{verb:present}	
active	past	aortist		{verb:past}	
active	future	aortist		will {verb:infinitive}	
active	present	imperfect		{be:present} {verb:imperfect}	
active	past	imperfect		{be:past} {verb:imperfect}	
active	future	imperfect		will be {verb:imperfect}	
active	present	perfect		{have:present} {verb:perfect}	
active	past	perfect		{have:past} {verb:perfect}	
active	future	perfect		will have {verb:perfect}	
active	present	perfect-progressive		{have:present} been {verb:imperfect} 	
active	past	perfect-progressive		{have:past} been {verb:imperfect}	
active	future	perfect-progressive		will have been {verb:imperfect}	
active	present	aortist	bare-infinitive	{verb:infinitive} [right now]	
active	past	aortist	bare-infinitive	{verb:infinitive} [back then]	
active	future	aortist	bare-infinitive	{verb:infinitive} [by then]	
active	present	imperfect	bare-infinitive	be {verb:imperfect} [right now]	
active	past	imperfect	bare-infinitive	be {verb:imperfect} [back then]	
active	future	imperfect	bare-infinitive	be {verb:imperfect} [by then]	
active	present	perfect	bare-infinitive	have {verb:perfect} [right now]	
active	present	perfect	bare-infinitive	have {verb:perfect} [back then]	
active	present	perfect	bare-infinitive	have {verb:perfect} [by then]	
active	present	perfect-progressive	bare-infinitive	have been {verb:imperfect} [right now]	
active	present	perfect-progressive	bare-infinitive	have been {verb:imperfect} [back then]	
active	present	perfect-progressive	bare-infinitive	have been {verb:imperfect} [by then]	
active	present	aortist	full-infinitive	to {verb:infinitive} [right now]	
active	past	aortist	full-infinitive	to {verb:infinitive} [back then]	
active	future	aortist	full-infinitive	to {verb:infinitive} [by then]	
active	present	imperfect	full-infinitive	to be {verb:imperfect} [right now]	
active	past	imperfect	full-infinitive	to be {verb:imperfect} [back then]	
active	future	imperfect	full-infinitive	to be {verb:imperfect} [by then]	
active	present	perfect	full-infinitive	to have {verb:perfect} [right now]	
active	present	perfect	full-infinitive	to have {verb:perfect} [back then]	
active	present	perfect	full-infinitive	to have {verb:perfect} [by then]	
active	present	perfect-progressive	full-infinitive	to have been {verb:imperfect} [right now]	
active	present	perfect-progressive	full-infinitive	to have been {verb:imperfect} [back then]	
active	present	perfect-progressive	full-infinitive	to have been {verb:imperfect} [by then]	
passive	present	aortist		{be:present} {verb:perfect}	
passive	past	aortist		{be:past} {verb:perfect}	
passive	future	aortist		will be {verb:perfect}	
passive	present	imperfect		{be:present} being {verb:perfect}	
passive	past	imperfect		{be:past} being {verb:perfect}	
passive	future	imperfect		will be {verb:perfect} 	
passive	present	perfect		{have:present} been {verb:perfect}	
passive	past	perfect		{have:past} been {verb:perfect}	
passive	future	perfect		will have been {verb:perfect}	
passive	present	perfect-progressive		{have:present} been [repeatedly] {verb:imperfect} 	
passive	past	perfect-progressive		{have:past} been [repeatedly] {verb:imperfect}	
passive	future	perfect-progressive		will have been [repeatedly] {verb:imperfect}	
passive	present	aortist	bare-infinitive	be {verb:perfect} [right now]	
passive	past	aortist	bare-infinitive	be {verb:perfect} [back then]	
passive	future	aortist	bare-infinitive	be {verb:perfect} [by then]	
passive	present	imperfect	bare-infinitive	be [repeatedly] {verb:perfect} [right now]	
passive	past	imperfect	bare-infinitive	be [repeatedly] {verb:perfect} [back then]	
passive	future	imperfect	bare-infinitive	be [repeatedly] {verb:perfect} [by then]	
passive	present	perfect	bare-infinitive	have been {verb:perfect} [just now]	
passive	past	perfect	bare-infinitive	have been {verb:perfect} [back then]	
passive	future	perfect	bare-infinitive	have been {verb:perfect} [by then]	
passive	present	perfect-progressive	bare-infinitive	have been [repeatedly] {verb:perfect} [just now]	
passive	past	perfect-progressive	bare-infinitive	have been [repeatedly] {verb:perfect}  [back then]	
passive	future	perfect-progressive	bare-infinitive	have been [repeatedly] {verb:perfect} [by then]	
passive	present	aortist	full-infinitive	to be {verb:perfect} [right now]	
passive	past	aortist	full-infinitive	to be {verb:perfect} [back then]	
passive	future	aortist	full-infinitive	to be {verb:perfect} [by then]	
passive	present	imperfect	full-infinitive	to be [repeatedly] {verb:perfect} [right now]	
passive	past	imperfect	full-infinitive	to be [repeatedly] {verb:perfect} [back then]	
passive	future	imperfect	full-infinitive	to be [repeatedly] {verb:perfect} [by then]	
passive	present	perfect	full-infinitive	to have been {verb:perfect} [just now]	
passive	past	perfect	full-infinitive	to have been {verb:perfect} [back then]	
passive	future	perfect	full-infinitive	to have been {verb:perfect} [by then]	
passive	present	perfect-progressive	full-infinitive	to have been [repeatedly] {verb:perfect} [just now]	
passive	past	perfect-progressive	full-infinitive	to have been [repeatedly] {verb:perfect}  [back then]	
passive	future	perfect-progressive	full-infinitive	to have been [repeatedly] {verb:perfect} [by then]	
middle	present	aortist	bare-infinitive	[be] {verb:perfect} [right now]	
middle	past	aortist	bare-infinitive	[be] {verb:perfect} [back then]	
middle	future	aortist	bare-infinitive	[be] {verb:perfect} [by then]	
middle	present	imperfect	bare-infinitive	[be repeatedly] {verb:perfect} [right now]	
middle	past	imperfect	bare-infinitive	[be repeatedly] {verb:perfect} [back then]	
middle	future	imperfect	bare-infinitive	[be repeatedly] {verb:perfect} [by then]	
middle	present	perfect	bare-infinitive	have [been] {verb:perfect} [just now]	
middle	past	perfect	bare-infinitive	have [been] {verb:perfect} [back then]	
middle	future	perfect	bare-infinitive	have [been] {verb:perfect} [by then]	
middle	present	perfect-progressive	bare-infinitive	have [been repeatedly] {verb:perfect} [just now]	
middle	past	perfect-progressive	bare-infinitive	have [been repeatedly] {verb:perfect}  [back then]	
middle	future	perfect-progressive	bare-infinitive	have [been repeatedly] {verb:perfect} [by then]	
middle	present	aortist	full-infinitive	to [be] {verb:perfect} [right now]	
middle	past	aortist	full-infinitive	to [be] {verb:perfect} [back then]	
middle	future	aortist	full-infinitive	to [be] {verb:perfect} [by then]	
middle	present	imperfect	full-infinitive	to [be repeatedly] {verb:perfect} [right now]	
middle	past	imperfect	full-infinitive	to [be repeatedly] {verb:perfect} [back then]	
middle	future	imperfect	full-infinitive	to [be repeatedly] {verb:perfect} [by then]	
middle	present	perfect	full-infinitive	to have [been] {verb:perfect} [just now]	
middle	past	perfect	full-infinitive	to have [been] {verb:perfect} [back then]	
middle	future	perfect	full-infinitive	to have [been] {verb:perfect} [by then]	
middle	present	perfect-progressive	full-infinitive	to have [been repeatedly] {verb:perfect} [just now]	
middle	past	perfect-progressive	full-infinitive	to have [been repeatedly] {verb:perfect}  [back then]	
middle	future	perfect-progressive	full-infinitive	to have [been repeatedly] {verb:perfect} [by then]	
