*	*	*	*	nominative 	accusative 	genitive 	dative 	instrumental 	#						
good	strong	singular	masculine 	gōd 	gōdne 	gōdes 	gōdum 	gōde 	#	consonant stem					
good	strong	singular	feminine 	gōd 	gōde 	gōdre 	gōdre 	gōdre 	#	consonant stem					
good	strong	singular	neuter	gōd	gōd	gōdes	gōdum	gōde	#	consonant stem					
good	strong	plural	masculine 	gōde 	gōde 	gōdra 	gōdum 	gōdum 	#	consonant stem					
good	strong	plural	feminine 	gōda, gōde 	gōda, gōde 	gōdra 	gōdum 	gōdum 	#	consonant stem					
good	strong	plural	neuter	gōd	gōd	gōdra	gōdum	gōdum 	#	consonant stem					
good	weak	singular	masculine 	gōda 	gōdan 	gōdan 	gōdan 	gōdan 	#	consonant stem					
good	weak	singular	feminine 	gōde 	gōdan 	gōdan 	gōdan 	gōdan 	#	consonant stem					
good	weak	singular	neuter	gōde	gōde	gōdan	gōdan	gōdan	#	consonant stem					
good	weak	plural	masculine 	gōdan 	gōdan 	gōdra, gōdena 	gōdum 	gōdum 	#	consonant stem					
good	weak	plural	feminine 	gōdan 	gōdan 	gōdra, gōdena 	gōdum 	gōdum 	#	consonant stem					
good	weak	plural	neuter	gōdan	gōdan	gōdra, gōdena	gōdum	gōdum 	#	consonant stem					
tall	strong	singular	masculine 	hēah 	hēane, hēanne 	hēas 	hēam, hēaum 	hēa 	#	-h stem					
tall	strong	singular	feminine 	hēah 	hēa 	hēare, hēarre 	hēare, hēarre 	hēare, hēarre 	#	-h stem					
tall	strong	singular	neuter	hēah	hēah	hēas	hēam, hēaum	hēa	#	-h stem					
tall	strong	plural	masculine 	hēa 	hēa 	hēara, hēarra 	hēam, hēaum 	hēam, hēaum 	#	-h stem					
tall	strong	plural	feminine 	hēa 	hēa 	hēara, hēarra 	hēam, hēaum 	hēam, hēaum 	#	-h stem					
tall	strong	plural	neuter	hēah	hēah	hēara, hēarra	hēam, hēaum	hēam, hēaum 	#	-h stem					
tall	weak	singular	masculine 	hēa 	hēan 	hēan 	hēan 	hēan 	#	-h stem					
tall	weak	singular	feminine 	hēa 	hēan 	hēan 	hēan 	hēan 	#	-h stem					
tall	weak	singular	neuter	hēa	hēa	hēan	hēan	hēan	#	-h stem					
tall	weak	plural	masculine 	hēan 	hēan 	hēara, hēarra, hēana 	hēam, hēaum 	hēam, hēaum 	#	-h stem					
tall	weak	plural	feminine 	hēan 	hēan 	hēara, hēarra, hēana 	hēam, hēaum 	hēam, hēaum 	#	-h stem					
tall	weak	plural	neuter	hēan	hēan	hēara, hēarra, hēana	hēam, hēaum	hēam, hēaum 	#	-h stem					
black	strong	singular	masculine 	blæc 	blæcne 	blaces 	blacum 	blace 	#	monosyllabic featuring æ					
black	strong	singular	feminine 	blacu, blaco 	blace 	blæcre 	blæcre 	blæcre 	#	monosyllabic featuring æ					
black	strong	singular	neuter	blæc	blæc	blaces	blacum	blace	#	monosyllabic featuring æ					
black	strong	plural	masculine 	blace 	blace 	blæcra 	blacum 	blacum 	#	monosyllabic featuring æ					
black	strong	plural	feminine 	blaca, blace 	blaca, blace 	blæcra 	blacum 	blacum 	#	monosyllabic featuring æ					
black	strong	plural	neuter	blacu, blaco	blacu, blaco	blæcra	blacum	blacum	#	monosyllabic featuring æ					
black	weak	singular	masculine 	blaca 	blacan 	blacan 	blacan 	blacan 	#	monosyllabic featuring æ					
black	weak	singular	feminine 	blace 	blacan 	blacan 	blacan 	blacan 	#	monosyllabic featuring æ					
black	weak	singular	neuter	blace	blace	blacan	blacan	blacan	#	monosyllabic featuring æ					
black	weak	plural	masculine 	blacan 	blacan 	blæcra, blacena 	blacum 	blacum 	#	monosyllabic featuring æ					
black	weak	plural	feminine 	blacan 	blacan 	blæcra, blacena 	blacum 	blacum 	#	monosyllabic featuring æ					
black	weak	plural	neuter	blacan	blacan	blæcra, blacena	blacum	blacum 	#	monosyllabic featuring æ					
red	strong	singular	masculine 	basu, baso 	basone 	basƿes 	basƿum 	basƿe 	#	-u stem					
red	strong	singular	feminine 	basu, baso 	basƿe 	basore 	basore 	basore 	#	-u stem					
red	strong	singular	neuter	basu, baso	basu, baso	basƿes	basƿum	basƿe	#	-u stem					
