																																								+		
																																					nom	abl	all		LEGEND:	
																																					voc	inst	loc	 	*:suffixes are reconstructed	
 														 																							acc	dat	gen		↑:subsumed by cell above	
																												 													↓:subsumed by cell below	
																																									↙:subsumed by lower left	
																																									↖:subsumed by upper left	
																																									?:uncertain	
																																										
																										 																
		singular				dual				plural						singular				dual				plural						singular				dual				plural				
	 	 	 	+	 	 	 	+	 	 	 	+						+				+				+						+				+				+		
	ā 								ās 				GAULISH		a	ae							ae	is			CLASSICAL LATIN		a								ōs				GOTHIC	
	ā 	ia	ī 						ās 	ābi(s) 	↙		a-stem		a	↑	↖						ae	↑	↖		1st declension		a	↓	↙						ōs	↓	↙		a-stem	
	an	ai	ās	 				 	ās 	ābo(s) 	anom 		feminine		am	a	ae	 				 	as	is	arum		feminine		a	ai	ōs	 				 	ōs	ōm	ō		feminine	
				+				+				+						+				+				+						+				+				+		
	os/on								oi				GAULISH		us/um	o							i	is			CLASSICAL LATIN		s/∅								ōs/∅				GOTHIC	
	e	ū	ei						oi	uis	ois		a-stem		e	↑	↖						i	↑	↖		2nd declension		∅	↓	↙						ōs/a	↓	↙		a-stem	
	on	ūi	oiso						ōs	obo(s)	on		masculine/neuter		um	o	i						um	is	orum		masculine/neuter		∅	a	is						ans/a	am	ē		masculine/neuter	
				+				+				+						+				+				+						+				+				+		
	is 								īs 				GAULISH		*	i							es	ibus			CLASSICAL LATIN		s								eis				GOTHIC	
	i 	ī 	ei 						īs 	ibi(s) 	↙		i-stem		*	↑	↖						es	↑	↖		3rd declension		∅	↓	↙						eis	↓	↙		i-stem	
	in	ei	ēis 						īs 	ibo(s) 	iom 				em	e	is						es	ibus	um				∅	ai	ais						ins	im	ē			
	 	 	 	+	 	 	 	+				+						+				+				+						+				+				+		
	ā	āyās	 	 	e	ābhyām	 	 	ās	ābhyas	 		CLASSICAL SANSKRIT		eh₂	eh₂es 			eh₂ih₁ 	eh₂bʰām			eh₂es 	eh₂bʰos			*LATE PIE		ā			 	ā				ai		 	 	ATTIC GREEK	
	e	ayā	āyām	 	e	ābhyām	ayos	 	ās	ābhis	āsu		a-stem		eh₂	eh₂eh₁	eh₂i 		eh₂ih₁ 	eh₂bʰām			eh₂es 	eh₂bʰis	eh₂su 		thematic eh₂-stem		ā	↓	↙		ā	↓	↙		ai	↓	↙		1st declension feminine	
	ām	āyai	āyās	 	e	ābhyām	ayos	 	ās	ābhyas	ānām	 	feminine		eh₂m 	eh₂ey 	eh₂es 		eh₂ih₁ 	eh₂bʰām			eh₂ns 	eh₂bʰos	eh₂Hom 		feminine		ān	āi	ās		ā	ain	ain	 	ās	ais	ôn			
	 	 	 	+	 	 	 	+	 	 	 	+						+				+				+						+				+				+		
	as/am	āt	 	 	ā/e	ābhyām	 	 	ās/ani	ebhyas 	 		CLASSICAL SANSKRIT		os/om	ead			oh₁/óyh₁	obʰām			oes/éh₂	omos			*LATE PIE		os				ō				oi				ATTIC GREEK	
	a	ā	e 	 	ā	ābhyām	ayos	 	ās	ais	eṣu		a-stem		e 	oh₁ 	oy		oh₁ 	obʰām	ows		oes	ōys 	oysu		thematic o-stem		e	↓	↙		ō	↓	↙		oi	↓	↙		2nd declension masculine	
	am	āya 	asya 	 	ā	ābhyām	ayos	 	ān	ebhyas 	āṇām		masculine/neuter		om 	oey	osyo		oh₁ 	obʰām	ows		oms 	omos 	oHom 		masculine/neuter		on	ōi	ou		ō	oin	oin		ous	ois	ōn			
	 	 	 	+	 	 	 	+	 	 	 	+						+				+				+						+				+				+		
	ís	es	 	 	ī			 	ayas	ibhyas	 		CLASSICAL SANSKRIT		*	és			h₁e 				es	ímos			*LATE PIE		*				e				es				ATTIC GREEK	
	e	i(y)ā	ā	 	ī			 	ayas	ibhis	iṣu		i-stem		*	éh₁	ḗy 		h₁e 				es	bʰí	sú		athematic		*	↓	↙		e	↓	↙		es	↓	↙		3rd declension	
	im	aye	es	 	ī			 	īn	ibhyas	īnām				m	éy 	és 		h₁e 				ms	ímos	oHom 				n	i	os		e	oîn	oîn		as	sí(n)	ôn			
	 	 	 	+	 	 	 	+	 	 	 	+						+				+				+						+				+				+		
	a				ě				y				OLD CHURCH SLAVONIC																													
	o	ojǫ	ě		ě	ama	u		y	ami	axŭ		hard a-stem																													
	ǫ	ě	y		ě	ama	u		y	amŭ	ŭ		feminine																													
				+				+				+						+				+				+						+				+				+		
	ŭ/o		 	 	a/ě	 	 	 	i/a	 	 		OLD CHURCH SLAVONIC		aš/an	az 	a						iēš 	az	aš		MIDDLE HITTITE		e 	emeṃ 	eś(c) 						i	eṃmeṃ	eṃś(c)		TOCHARIAN B	
	e/o	omŭ	ě	 	a/ě	oma	u	 	i/a	y	ěxŭ		o-stem		a	it	i						a	it	aš		-a stem		a		ene 								eṃne			
	ŭ/a/o	u/ovi	a	 	a/ě	oma	u	 	y/a	omŭ	ŭ		masculine/neuter		an	i	aš						uš	aš	aš		animate		e		entse 						eṃ		eṃtsi			
	 	 	 	+	 	 	 	+	 	 	 	+						+				+				+						+				+				+		
	ĭ 	 	 	 	i 			 	i	emŭ	 		OLD CHURCH SLAVONIC		*	az	?						aiš	aš	?		MIDDLE HITTITE															
	i 	ĭjǫ	i 	 	i 			 	i	emi	exŭ		i-stem		?	it	ai						?	it	aš		-i stem															
	ĭ 	i 	i 	 	i 			 	i	emŭ	ĭjĭ				in	ai	aš						auš	aš	an?		inanimate															
	 	 	 	 	 	 	 	 	 	 	 																															
