#			mood->	indicative	indicative	indicative	subjunctive     	optative        	participle    	
#verb	voice	person	plurality	present	past	imperative   				
want to see	active	2     	plural   	wéydsete          	wéydsete       	wéydsete     	wéydsēte        	wéydsoyte       	wéydsonts     	
want to see	active	3     	plural   	wéydsonti         	wéydsont       	wéydsontu    	wéydsōnti       	wéydsoyh₁nₒt    	wéydsonts     	
want to see	middle	1     	singular 	wéydsoh₂er        	wéydsoh₂e      	             	wéydsōh₂er      	wéydsoyh₂e      	wéydsomnos    	
want to see	middle	2     	singular 	wéydseth₂er       	wéydseth₂e     	wéydseso     	wéydsēth₂er     	wéydsoyth₂e     	wéydsomnos    	
want to see	middle	3     	singular 	wéydsetor         	wéydseto       	             	wéydsētor       	wéydsoyto       	wéydsomnos    	
want to see	middle	1     	dual     	wéydsowosdʰh₂     	wéydsowedʰh₂   	             	wéydsōwosdʰh₂   	wéydsoywedʰh₂   	wéydsomnos    	
want to see	middle	2     	dual     	                  	               	             	                	                	wéydsomnos    	
want to see	middle	3     	dual     	                  	               	             	                	                	wéydsomnos    	
want to see	middle	1     	plural   	wéydsomosdʰh₂     	wéydsomedʰh₂   	             	wéydsōmosdʰh₂   	wéydsoymedʰh₂   	wéydsomnos    	
want to see	middle	2     	plural   	wéydsedʰh₂we      	wéydsedʰh₂we   	wéydsedʰh₂we 	wéydsēdʰh₂we    	wéydsoydʰh₂we   	wéydsomnos    	
want to see	middle	3     	plural   	wéydsoror         	wéydsoro       	             	wéydsōror       	wéydsoyro       	wéydsomnos    	
renew	active	1     	singular 	néweh₂mi          	néwām          	             	néweh₂oh₂       	néweh₂yeh₁mₒ    	néweh₂nₒts    	
renew	active	2     	singular 	néweh₂si          	néweh₂s        	néweh₂       	néweh₂esi       	néweh₂yeh₁s     	néweh₂nₒts    	
renew	active	3     	singular 	néweh₂ti          	néweh₂t        	néweh₂tu     	néweh₂eti       	néweh₂yeh₁t     	néweh₂nₒts    	
renew	active	1     	dual     	néweh₂wos         	néweh₂we       	             	néweh₂owos      	néweh₂ih₁we     	néweh₂nₒts    	
renew	active	2     	dual     	néweh₂tes         	néweh₂tom      	néweh₂tom    	néweh₂etes      	néweh₂ih₁tom    	néweh₂nₒts    	
renew	active	3     	dual     	néweh₂tes         	néweh₂tām      	néweh₂tām    	néweh₂etes      	néweh₂ih₁tām    	néweh₂nₒts    	
renew	active	1     	plural   	néweh₂mos         	néweh₂me       	             	néweh₂omos      	néweh₂ih₁me     	néweh₂nₒts    	
renew	active	2     	plural   	néweh₂te          	néweh₂te       	néweh₂te     	néweh₂ete       	néweh₂ih₁te     	néweh₂nₒts    	
renew	active	3     	plural   	néweh₂nₒti        	néweh₂nₒt      	néweh₂nₒtu   	néweh₂onti      	néweh₂ih₁nₒt    	néweh₂nₒts    	
renew	middle	1     	singular 	néweh₂h₂er        	néweh₂h₂e      	             	néweh₂oh₂er     	néweh₂ih₁h₂e    	néweh₂mₒh₁nos 	
renew	middle	2     	singular 	néweh₂th₂er       	néweh₂th₂e     	néweh₂so     	néweh₂eth₂er    	néweh₂ih₁th₂e   	néweh₂mₒh₁nos 	
renew	middle	3     	singular 	néweh₂tor         	néweh₂to       	             	néweh₂etor      	néweh₂ih₁to     	néweh₂mₒh₁nos 	
renew	middle	1     	dual     	néweh₂wosdʰh₂     	néweh₂wedʰh₂   	             	néweh₂owosdʰh₂  	néweh₂ih₁wedʰh₂ 	néweh₂mₒh₁nos 	
renew	middle	2     	dual     	                  	               	             	                	                	néweh₂mₒh₁nos 	
renew	middle	3     	dual     	                  	               	             	                	                	néweh₂mₒh₁nos 	
renew	middle	1     	plural   	néweh₂mosdʰh₂     	néweh₂medʰh₂   	             	néweh₂omosdʰh₂  	néweh₂ih₁medʰh₂ 	néweh₂mₒh₁nos 	
renew	middle	2     	plural   	néweh₂dʰh₂we      	néweh₂dʰh₂we   	néweh₂dʰh₂we 	néweh₂edʰh₂we   	néweh₂ih₁dʰh₂we 	néweh₂mₒh₁nos 	
renew	middle	3     	plural   	néweh₂ror         	néweh₂ro       	             	néweh₂oror      	néweh₂ih₁ro     	néweh₂mₒh₁nos 	
arrive	active	1     	singular 	h₁ludʰóm          	h₁ludʰóm       	             	h₁ludʰṓh₂       	h₁ludʰóyh₁mₒ    	h₁ludʰónts    	
arrive	active	2     	singular 	h₁ludʰés          	h₁ludʰés       	h₁ludʰé      	h₁ludʰḗsi       	h₁ludʰóys       	h₁ludʰónts    	
arrive	active	3     	singular 	h₁ludʰét          	h₁ludʰét       	h₁ludʰétu    	h₁ludʰḗti       	h₁ludʰóyt       	h₁ludʰónts    	
arrive	active	1     	dual     	h₁ludʰówe         	h₁ludʰówe      	             	h₁ludʰṓwos      	h₁ludʰóywe      	h₁ludʰónts    	
arrive	active	2     	dual     	h₁ludʰétom        	h₁ludʰétom     	h₁ludʰétom   	h₁ludʰḗtes      	h₁ludʰóytom     	h₁ludʰónts    	
arrive	active	3     	dual     	h₁ludʰétām        	h₁ludʰétām     	h₁ludʰétām   	h₁ludʰḗtes      	h₁ludʰóytām     	h₁ludʰónts    	
arrive	active	1     	plural   	h₁ludʰóme         	h₁ludʰóme      	             	h₁ludʰṓmos      	h₁ludʰóyme      	h₁ludʰónts    	
arrive	active	2     	plural   	h₁ludʰéte         	h₁ludʰéte      	h₁ludʰéte    	h₁ludʰḗte       	h₁ludʰóyte      	h₁ludʰónts    	
arrive	active	3     	plural   	h₁ludʰónt         	h₁ludʰónt      	h₁ludʰóntu   	h₁ludʰṓnti      	h₁ludʰóyh₁nₒt   	h₁ludʰónts    	
say	active	1     	singular 	wéwkom            	wéwkom         	             	wéwkōh₂         	wéwkoyh₁mₒ      	wéwkonts      	
say	active	2     	singular 	wéwkes            	wéwkes         	wéwke        	wéwkēsi         	wéwkoys         	wéwkonts      	
say	active	3     	singular 	wéwket            	wéwket         	wéwketu      	wéwkēti         	wéwkoyt         	wéwkonts      	
say	active	1     	dual     	wéwkowe           	wéwkowe        	             	wéwkōwos        	wéwkoywe        	wéwkonts      	
say	active	2     	dual     	wéwketom          	wéwketom       	wéwketom     	wéwkētes        	wéwkoytom       	wéwkonts      	
say	active	3     	dual     	wéwketām          	wéwketām       	wéwketām     	wéwkētes        	wéwkoytām       	wéwkonts      	
say	active	1     	plural   	wéwkome           	wéwkome        	             	wéwkōmos        	wéwkoyme        	wéwkonts      	
say	active	2     	plural   	wéwkete           	wéwkete        	wéwkete      	wéwkēte         	wéwkoyte        	wéwkonts      	
say	active	3     	plural   	wéwkont           	wéwkont        	wéwkontu     	wéwkōnti        	wéwkoyh₁nₒt     	wéwkonts      	
say	middle	1     	singular 	wéwkoh₂e          	wéwkoh₂e       	             	wéwkōh₂er       	wéwkoyh₂e       	wéwkomnos     	
say	middle	2     	singular 	wéwketh₂e         	wéwketh₂e      	wéwkeso      	wéwkēth₂er      	wéwkoyth₂e      	wéwkomnos     	
say	middle	3     	singular 	wéwketo           	wéwketo        	             	wéwkētor        	wéwkoyto        	wéwkomnos     	
say	middle	1     	dual     	wéwkowedʰh₂       	wéwkowedʰh₂    	             	wéwkōwosdʰh₂    	wéwkoywedʰh₂    	wéwkomnos     	
say	middle	2     	dual     	                  	               	             	                	                	wéwkomnos     	
say	middle	3     	dual     	                  	               	             	                	                	wéwkomnos     	
say	middle	1     	plural   	wéwkomedʰh₂       	wéwkomedʰh₂    	             	wéwkōmosdʰh₂    	wéwkoymedʰh₂    	wéwkomnos     	
say	middle	2     	plural   	wéwkedʰh₂we       	wéwkedʰh₂we    	wéwkedʰh₂we  	wéwkēdʰh₂we     	wéwkoydʰh₂we    	wéwkomnos     	
say	middle	3     	plural   	wéwkoro           	wéwkoro        	             	wéwkōror        	wéwkoyro        	wéwkomnos     	
say	active	1     	singular 	dḗyḱsmₒ           	dḗyḱsmₒ        	             	dḗyḱsoh₂        	déyḱsyeh₁mₒ     	déyḱsnₒts     	
say	active	2     	singular 	dḗyḱs             	dḗyḱs          	dḗyḱs        	dḗyḱsesi        	déyḱsyeh₁s      	déyḱsnₒts     	
say	active	3     	singular 	dḗyḱst            	dḗyḱst         	dḗyḱstu      	dḗyḱseti        	déyḱsyeh₁t      	déyḱsnₒts     	
say	active	1     	dual     	déyḱswe           	déyḱswe        	             	dḗyḱsowos       	déyḱsih₁we      	déyḱsnₒts     	
say	active	2     	dual     	déyḱstom          	déyḱstom       	déyḱstom     	dḗyḱsetes       	déyḱsih₁tom     	déyḱsnₒts     	
say	active	3     	dual     	déyḱstām          	déyḱstām       	déyḱstām     	dḗyḱsetes       	déyḱsih₁tām     	déyḱsnₒts     	
say	active	1     	plural   	déyḱsme           	déyḱsme        	             	dḗyḱsomos       	déyḱsih₁me      	déyḱsnₒts     	
say	active	2     	plural   	déyḱste           	déyḱste        	déyḱste      	dḗyḱsete        	déyḱsih₁te      	déyḱsnₒts     	
say	active	3     	plural   	déyḱsnₒt          	déyḱsnₒt       	déyḱsnₒtu    	dḗyḱsonti       	déyḱsih₁nₒt     	déyḱsnₒts     	
pointed out	middle	1     	singular 	déyḱsh₂e          	déyḱsh₂e       	             	dḗyḱsoh₂er      	déyḱsih₁h₂e     	déyḱsmₒh₁nos  	
pointed out	middle	2     	singular 	déyḱsth₂e         	déyḱsth₂e      	déyḱso       	dḗyḱseth₂er     	déyḱsih₁th₂e    	déyḱsmₒh₁nos  	
pointed out	middle	3     	singular 	déyḱsto           	déyḱsto        	             	dḗyḱsetor       	déyḱsih₁to      	déyḱsmₒh₁nos  	
pointed out	middle	1     	dual     	déyḱswedʰh₂       	déyḱswedʰh₂    	             	dḗyḱsowosdʰh₂   	déyḱsih₁wedʰh₂  	déyḱsmₒh₁nos  	
pointed out	middle	2     	dual     	                  	               	             	                	                	déyḱsmₒh₁nos  	
pointed out	middle	3     	dual     	                  	               	             	                	                	déyḱsmₒh₁nos  	
pointed out	middle	1     	plural   	déyḱsmedʰh₂       	déyḱsmedʰh₂    	             	dḗyḱsomosdʰh₂   	déyḱsih₁medʰh₂  	déyḱsmₒh₁nos  	
pointed out	middle	2     	plural   	déyḱsdʰh₂we       	déyḱsdʰh₂we    	déyḱsdʰh₂we  	dḗyḱsedʰh₂we    	déyḱsih₁dʰh₂we  	déyḱsmₒh₁nos  	
pointed out	middle	3     	plural   	déyḱsro           	déyḱsro        	             	dḗyḱsoror       	déyḱsih₁ro      	déyḱsmₒh₁nos  	
pointed out	active	1     	singular 	memónh₂e          	memónh₂e       	             	meménoh₂        	memnₒyéh₁mₒ     	memnₒwṓs      	
pointed out	active	2     	singular 	memónth₂e         	memónth₂e      	memón        	meménesi        	memnₒyéh₁s      	memnₒwṓs      	
pointed out	active	3     	singular 	memóne            	memóne         	memóntu      	meméneti        	memnₒyéh₁t      	memnₒwṓs      	
pointed out	active	1     	dual     	memnₒwé           	memnₒwé        	             	meménowos       	memnih₁wé       	memnₒwṓs      	
pointed out	active	2     	dual     	                  	               	memnₒtóm     	meménetes       	memnih₁tóm      	memnₒwṓs      	
pointed out	active	3     	dual     	                  	               	memnₒtā´m    	meménetes       	memnih₁tā´m     	memnₒwṓs      	
pointed out	active	1     	plural   	memnₒmé           	memnₒmé        	             	meménomos       	memnih₁mé       	memnₒwṓs      	
pointed out	active	2     	plural   	memné             	memné          	memnₒté      	meménete        	memnih₁té       	memnₒwṓs      	
pointed out	active	3     	plural   	memnḗr            	memnḗr         	memnéntu     	meménonti       	memnih₁ént      	memnₒwṓs      	
	      	      								
