#			mood->	indicative	indicative	indicative	subjunctive     	optative        	participle    	
#verb	voice	person	plurality	present	past	imperative   				
leave	active	1     	singular 	linékʷmi          	linékʷmₒ       	             	linékʷoh₂       	linkʷyéh₁mₒ     	linkʷónts     	
leave	active	2     	singular 	linékʷsi          	linékʷs        	linékʷ       	linékʷesi       	linkʷyéh₁s      	linkʷónts     	
leave	active	3     	singular 	linékʷti          	linékʷt        	linékʷtu     	linékʷeti       	linkʷyéh₁t      	linkʷónts     	
leave	active	1     	dual     	linkwós           	linkwé         	             	linékʷowos      	linkʷih₁wé      	linkʷónts     	
leave	active	2     	dual     	linkʷtés          	linkʷtóm       	linkʷtóm     	linékʷetes      	linkʷih₁tóm     	linkʷónts     	
leave	active	3     	dual     	linkʷtés          	linkʷtā´m      	linkʷtā´m    	linékʷetes      	linkʷih₁tā´m    	linkʷónts     	
leave	active	1     	plural   	linkʷmós          	linkʷmé        	             	linékʷomos      	linkʷih₁mé      	linkʷónts     	
leave	active	2     	plural   	linkʷté           	linkʷté        	linkʷté      	linékʷete       	linkʷih₁té      	linkʷónts     	
leave	active	3     	plural   	linkʷénti         	linkʷént       	linkʷéntu    	linékʷonti      	linkʷih₁ént     	linkʷónts     	
leave	middle	1     	singular 	linkʷh₂ér         	linkʷh₂é       	             	linékʷoh₂er     	linkʷih₁h₂é     	linkʷmₒh₁nós  	
leave	middle	2     	singular 	linkʷth₂ér        	linkʷth₂é      	linkʷsó      	linékʷeth₂er    	linkʷih₁th₂é    	linkʷmₒh₁nós  	
leave	middle	3     	singular 	linkʷtór          	linkʷtó        	             	linékʷetor      	linkʷih₁tó      	linkʷmₒh₁nós  	
leave	middle	1     	dual     	linkwósdʰh₂       	linkwédʰh₂     	             	linékʷowosdʰh₂  	linkʷih₁wédʰh₂  	linkʷmₒh₁nós  	
leave	middle	2     	dual     	                  	               	             	                	                	linkʷmₒh₁nós  	
leave	middle	3     	dual     	                  	               	             	                	                	linkʷmₒh₁nós  	
leave	middle	1     	plural   	linkʷmósdʰh₂      	linkʷmédʰh₂    	             	linékʷomosdʰh₂  	linkʷih₁médʰh₂  	linkʷmₒh₁nós  	
leave	middle	2     	plural   	linkʷdʰh₂wé       	linkʷdʰh₂wé    	linkʷdʰh₂wé  	linékʷedʰh₂we   	linkʷih₁dʰh₂wé  	linkʷmₒh₁nós  	
leave	middle	3     	plural   	linkʷrór          	linkʷró        	             	linékʷoror      	linkʷih₁ró      	linkʷmₒh₁nós  	
work	active	1     	singular 	wrₒǵyóh₂          	wrₒǵyóm        	             	wrₒǵyṓh₂        	wrₒǵyóyh₁mₒ     	wrₒǵyónts     	
work	active	2     	singular 	wrₒǵyési          	wrₒǵyés        	wrₒǵyé       	wrₒǵyḗsi        	wrₒǵyóys        	wrₒǵyónts     	
work	active	3     	singular 	wrₒǵyéti          	wrₒǵyét        	wrₒǵyétu     	wrₒǵyḗti        	wrₒǵyóyt        	wrₒǵyónts     	
work	active	1     	dual     	wrₒǵyówos         	wrₒǵyówe       	             	wrₒǵyṓwos       	wrₒǵyóywe       	wrₒǵyónts     	
work	active	2     	dual     	wrₒǵyétes         	wrₒǵyétom      	wrₒǵyétom    	wrₒǵyḗtes       	wrₒǵyóytom      	wrₒǵyónts     	
work	active	3     	dual     	wrₒǵyétes         	wrₒǵyétām      	wrₒǵyétām    	wrₒǵyḗtes       	wrₒǵyóytām      	wrₒǵyónts     	
work	active	1     	plural   	wrₒǵyómos         	wrₒǵyóme       	             	wrₒǵyṓmos       	wrₒǵyóyme       	wrₒǵyónts     	
work	active	2     	plural   	wrₒǵyéte          	wrₒǵyéte       	wrₒǵyéte     	wrₒǵyḗte        	wrₒǵyóyte       	wrₒǵyónts     	
work	active	3     	plural   	wrₒǵyónti         	wrₒǵyónt       	wrₒǵyóntu    	wrₒǵyṓnti       	wrₒǵyóyh₁nₒt    	wrₒǵyónts     	
work	middle	1     	singular 	wrₒǵyóh₂er        	wrₒǵyóh₂e      	             	wrₒǵyṓh₂er      	wrₒǵyóyh₂e      	wrₒǵyómnos    	
work	middle	2     	singular 	wrₒǵyéth₂er       	wrₒǵyéth₂e     	wrₒǵyéso     	wrₒǵyḗth₂er     	wrₒǵyóyth₂e     	wrₒǵyómnos    	
work	middle	3     	singular 	wrₒǵyétor         	wrₒǵyéto       	             	wrₒǵyḗtor       	wrₒǵyóyto       	wrₒǵyómnos    	
work	middle	1     	dual     	wrₒǵyówosdʰh₂     	wrₒǵyówedʰh₂   	             	wrₒǵyṓwosdʰh₂   	wrₒǵyóywedʰh₂   	wrₒǵyómnos    	
work	middle	2     	dual     	                  	               	             	                	                	wrₒǵyómnos    	
work	middle	3     	dual     	                  	               	             	                	                	wrₒǵyómnos    	
work	middle	1     	plural   	wrₒǵyómosdʰh₂     	wrₒǵyómedʰh₂   	             	wrₒǵyṓmosdʰh₂   	wrₒǵyóymedʰh₂   	wrₒǵyómnos    	
work	middle	2     	plural   	wrₒǵyédʰh₂we      	wrₒǵyédʰh₂we   	wrₒǵyédʰh₂we 	wrₒǵyḗdʰh₂we    	wrₒǵyóydʰh₂we   	wrₒǵyómnos    	
work	middle	3     	plural   	wrₒǵyóror         	wrₒǵyóro       	             	wrₒǵyṓror       	wrₒǵyóyro       	wrₒǵyómnos    	
do	active	1     	singular 	dʰédʰeh₁mi        	dʰédʰeh₁mₒ     	             	dʰédʰeh₁oh₂     	dʰédʰh₁yeh₁mₒ   	dʰédʰh₁nₒts   	
do	active	2     	singular 	dʰédʰeh₁si        	dʰédʰeh₁s      	dʰédʰeh₁     	dʰédʰeh₁esi     	dʰédʰh₁yeh₁s    	dʰédʰh₁nₒts   	
do	active	3     	singular 	dʰédʰeh₁ti        	dʰédʰeh₁t      	dʰédʰeh₁tu   	dʰédʰeh₁eti     	dʰédʰh₁yeh₁t    	dʰédʰh₁nₒts   	
do	active	1     	dual     	dʰédʰh₁wos        	dʰédʰh₁we      	             	dʰédʰeh₁owos    	dʰédʰh₁ih₁we    	dʰédʰh₁nₒts   	
do	active	2     	dual     	dʰédʰh₁tes        	dʰédʰh₁tom     	dʰédʰh₁tom   	dʰédʰeh₁etes    	dʰédʰh₁ih₁tom   	dʰédʰh₁nₒts   	
do	active	3     	dual     	dʰédʰh₁tes        	dʰédʰh₁tām     	dʰédʰh₁tām   	dʰédʰeh₁etes    	dʰédʰh₁ih₁tām   	dʰédʰh₁nₒts   	
do	active	1     	plural   	dʰédʰh₁mos        	dʰédʰh₁me      	             	dʰédʰeh₁omos    	dʰédʰh₁ih₁me    	dʰédʰh₁nₒts   	
do	active	2     	plural   	dʰédʰh₁te         	dʰédʰh₁te      	dʰédʰh₁te    	dʰédʰeh₁ete     	dʰédʰh₁ih₁te    	dʰédʰh₁nₒts   	
do	active	3     	plural   	dʰédʰh₁nₒti       	dʰédʰh₁nₒt     	dʰédʰh₁nₒtu  	dʰédʰeh₁onti    	dʰédʰh₁ih₁nₒt   	dʰédʰh₁nₒts   	
do	middle	1     	singular 	dʰédʰh₁h₂er       	dʰédʰh₁h₂e     	             	dʰédʰeh₁oh₂er   	dʰédʰh₁ih₁h₂e   	dʰédʰh₁mₒh₁nos	
do	middle	2     	singular 	dʰédʰh₁th₂er      	dʰédʰh₁th₂e    	dʰédʰh₁so    	dʰédʰeh₁eth₂er  	dʰédʰh₁ih₁th₂e  	dʰédʰh₁mₒh₁nos	
