*	*	singular	plural									
time	genitive	tīde	tīda									
time	dative	tīde	tīdum									
English	nominative	—	Engle									
English	accusative	—	Engle									
English	genitive	—	Engla									
English	dative	—	Englum									
hand	nominative	hand	handa									
hand	accusative	hand	handa									
hand	genitive	handa	handa									
hand	dative	handa	handum									
person	nominative	mann	menn									
person	accusative	mann	menn									
person	genitive	mannes	manna									
person	dative	menn	mannum									
nut	nominative	hnutu	hnyte									
nut	accusative	hnutu	hnyte									
nut	genitive	hnyte, hnute	hnuta									
nut	dative	hnyte	hnutum									
goose	nominative	gōs	gēs									
goose	accusative	gōs	gēs									
goose	genitive	gēs, gōse	gōsa									
goose	dative	gēs	gōsum									
friend	nominative	frēond	frīend									
friend	accusative	frēond	frīend									
friend	genitive	frēondes	frēonda									
friend	dative	frīend	frēondum									
bystander	nominative	ymbstandend	ymbstandend, ymbstandende, ymbstandendas									
bystander	accusative	ymbstandend	ymbstandend, ymbstandende, ymbstandendas									
bystander	genitive	ymbstandendes	ymbstandendra									
bystander	dative	ymbstandende	ymbstandendum									
father	nominative	fæder	fæderas									
father	accusative	fæder	fæderas									
father	genitive	fæder	fædera									
father	dative	fæder	fæderum									
mother	nominative	mōdor	mōdra, mōdru									
mother	accusative	mōdor	mōdra, mōdru									
mother	genitive	mōdor, mēder	mōdra									
mother	dative	mēder	mōdrum									
brother	nominative	brōþor	brōþor, ġebrōþor, brōþra, ġebrōþra, brōþru, ġebrōþru									
brother	accusative	brōþor	brōþor, ġebrōþor, brōþra, ġebrōþra, brōþru, ġebrōþru									
brother	genitive	brōþor	brōþra, ġebrōþra									
brother	dative	brēþer	brōþrum, ġebrōþrum									
sister	nominative	sweostor	ġesweostor, ġesweostra, ġesweostru									
sister	accusative	sweostor	ġesweostor, ġesweostra, ġesweostru									
sister	genitive	sweostor	ġesweostra									
sister	dative	sweostor	ġesweostrum									
lamb	nominative	lamb	lambru									
lamb	accusative	lamb	lambru									
lamb	genitive	lambes	lambra									
lamb	dative	lambe	lambrum									
shoe	nominative	sċōh	sċōs									
shoe	accusative	sċōh	sċōs									
shoe	genitive	sċōs	sċōna									
shoe	dative	sċō	sċōm, sċōum									
piglet	nominative	fearh	fēaras									
piglet	accusative	fearh	fēaras									
piglet	genitive	fēares	fēara									
piglet	dative	fēare	fēarum									
shadow	nominative	sċeadu	sċeadwa, sċeadwe									
shadow	accusative	sċeadwe	sċeadwa, sċeadwe									
shadow	genitive	sċeadwe	sċeadwa									
shadow	dative	sċeadwe	sċeadwum									
meadow	nominative	mǣd	mǣdwa, mǣdwe									
meadow	accusative	mǣdwe	mǣdwa, mǣdwe									
meadow	genitive	mǣdwe	mǣdwa									
meadow	dative	mǣdwe	mǣdwum									
hello	masculine	Wes hāl	Wesaþ hāle									
hello	feminine	Wes hāl	Wesaþ hāla									
hello	neuter	Wes hāl	Wesaþ hāl									
