*	*	*	*	present	past																					
hear	indicative	2	singular	ġehīerest, ġehīerst	ġehīerdest																					
hear	indicative	3	singular	ġehīereþ, ġehīerþ	ġehīerde																					
hear	indicative		plural	ġehīeraþ	ġehīerdon																					
hear	subjunctive		singular	ġehīere	ġehīerde																					
hear	subjunctive		plural	ġehīeren	ġehīerden																					
hear	imperative		singular	ġehīer																						
hear	imperative		plural	ġehīeraþ																						
hear	participle			ġehīerende	ġehīered																					
occupy	infinitive			weardian	weardienne																					
occupy	indicative	1	singular	weardiġe	weardode																					
occupy	indicative	2	singular	weardast	weardodest																					
occupy	indicative	3	singular	weardaþ	weardode																					
occupy	indicative		plural	weardiaþ	weardodon																					
occupy	subjunctive		singular	weardiġe	weardode																					
occupy	subjunctive		plural	weardiġen	weardoden																					
occupy	imperative		singular	wearda																						
occupy	imperative		plural	weardiaþ																						
occupy	participle			weardiende	(ġe)weardod																					
see	infinitive			ġesēon	ġesēonne																					
see	indicative	1	singular	ġesēo	ġeseah																					
see	indicative	2	singular	ġesiehst	ġesāwe																					
see	indicative	3	singular	ġesiehþ	ġeseah																					
see	indicative		plural	ġesēoþ	ġesāwon																					
see	subjunctive		singular	ġesēo	ġesāwe																					
see	subjunctive		plural	ġesēon	ġesāwen																					
see	imperative		singular	ġeseoh																						
see	imperative		plural	ġesēoþ																						
see	participle			ġesēonde	ġesewen																					
show	infinitive			ætīewan	ætīewenne																					
show	indicative	1	singular	ætīewe	ætīewde																					
show	indicative	2	singular	ætīewest, ætīewst	ætīewdest																					
show	indicative	3	singular	ætīeweþ, ætīewþ	ætīewde																					
show	indicative		plural	ætīewaþ	ætīewdon																					
show	subjunctive		singular	ætīewe	ætīewde																					
show	subjunctive		plural	ætīewen	ætīewden																					
show	imperative		singular	ætīew																						
show	imperative		plural	ætīewaþ																						
show	participle			ætīewende	ætīewed																					
startle	infinitive			grēosan	grēosenne																					
startle	indicative	1	singular	grēose	grēas																					
startle	indicative	2	singular	grīest	grure																					
startle	indicative	3	singular	grīest	grēas																					
startle	indicative		plural	grēosaþ	gruron																					
startle	subjunctive		singular	grēose	grure																					
startle	subjunctive		plural	grēosen	gruren																					
startle	imperative		singular	grēos																						
startle	imperative		plural	grēosaþ																						
startle	participle			grēosende	(ġe)groren																					
swim	infinitive			swimman	swimmenne																					
swim	indicative	1	singular	swimme	swamm																					
swim	indicative	2	singular	swimst	swumme																					
swim	indicative	3	singular	swimþ	swamm																					
swim	indicative		plural	swimmaþ	swummon																					
swim	subjunctive		singular	swimme	swumme																					
