nominative  	{{declined}} {{direct}} h₁éḱwom     
accusative  	ǵʰmṓ déwkti {{declined}}            
reflexive   	{{declined}} {{direct}} {{declined}}
genitive    	h₁éḱwos h₁ésti {{declined}}         
ablative    	ǵʰmṓ déwkti h₁éḱwom {{declined}}    
dative      	ǵʰmṓ déwkti h₁éḱwom {{declined}}    
instrumental	ǵʰmṓ déwkti h₁éḱwom {{declined}}    
locative    	ǵʰmṓ déwkti h₁éḱwom {{declined}}    
vocative    	{{declined}}!                       
